Ail cru;3,58E-01
Ail séché en poudre;7,50E-01
Aile de poulet;9,32E+00
Amidon de maïs ou fécule de maïs;1,08E+00
Beurre demi-sel;7,73E+00
Beurre de cacahuète ou Pâte d'arachide;3,19E+00
Beurre doux;7,79E+00
Bicarbonate de soude;1,13E+00
Biscotte ;9,48E-01
Biscuit apéritif crackers;1,59E+00
Biscuit apéritif mini bretzel ou sticks;1,59E+00
Biscuit apéritif soufflé;1,59E+00
Boeuf à bourguignon ou pot-au-feu;3,43E+01
Bonbon dur et sucette;1,72E+00
Boudin noir;1,61E+00
Brochette de volaille;9,11E+00
Brocoli;1,09E+00
Brownie au chocolat;7,20E+00
Cabillaud, rôti/cuit au four;1,32E+01
Carotte crue;3,64E-01
Carotte cuite;9,35E-01
Cheddar;6,18E+00
Chips de crevette;4,20E+00
Chocolat blanc en tablette;1,12E+01
Chocolat noir en tablette;1,69E+01
Chou blanc cru;6,61E-01
Chou de Bruxelles cru;5,76E-01
Chou de Bruxelles cuit;1,06E+00
Chou rouge cru;8,62E-01
Chou rouge cuit;1,30E+00
Chou vert cru;8,62E-01
Chou vert cuit;1,29E+00
Chou-fleur cru;7,36E-01
Chou-fleur cuit;1,11E+00
Clou de girofle;8,14E+00
Coeur de palmier;1,64E+00
Compote de pomme;8,44E-01
Comté;6,22E+00
Concentré de Tomate;2,82E+00
Concombre;4,73E-01
Cordon bleu de volaille;6,20E+00
Côte de Porc;1,30E+01
Coulommiers;5,41E+00
Crème de marrons;1,67E+00
Crème pâtissière;1,39E+00
Crevette;2,41E+01
Cuisse de Poulet;9,32E+00
Double concentré de Tomate;4,13E+00
Églefin ou Eglefin;1,32E+01
Emmental ou emmenthal râpé;6,16E+00
Endive au jambon;3,60E+00
Endive crue;9,38E-01
Épinard;8,04E-01
Escalope de dinde panée ou escalope viennoise ou milanaise;6,26E+00
Escalope de poulet panée;9,05E+00
Escalope de veau panée;1,81E+01
Escalope végétale ou steak à base de soja;1,86E+00
Espadon;5,15E+00
Farine;7,19E-01
Farine de maïs;7,44E-01
Feuille de Laurier;8,46E-01
Filet d’Agneau;5,09E+01
Filet de bacon;6,99E+00
Filet de Porc;1,29E+01
Filet de Poulet;9,11E+00
Filet mignon de porc cru;1,01E+01
Filet mignon de porc cuit;1,29E+01
Fleur de sel;6,04E-01
Flocon d'avoine;1,15E+00
Fraise de saison;4,77E-01
Fraise hors saison;5,49E-01
Frites de pommes de terre;1,28E+00
Fromage à Raclette;5,86E+00
Gâteau Paris-Brest;3,91E+00
Gigot d’Agneau;5,09E+01
